Time;Channel A;Channel B;A - B
(s);(V);(V);(V)

-2,37872799;-3,34040400;-1,00619500;-2,33420800
-2,37839399;-3,34040400;-1,00619500;-2,33420800
-2,37805999;-3,34040400;-1,00619500;-2,33420800
-2,37772599;-3,34040400;-1,00619500;-2,37937500
-2,37739199;-3,34040400;-1,00619500;-2,33420800
-2,37705799;-3,38557100;-1,00619500;-2,33420800
-2,37672399;-3,34040400;-1,00619500;-2,33420800
-2,37638999;-3,34040400;-1,00619500;-2,38059600
-2,37605599;-3,34040400;-1,00619500;-2,37998600
-2,37572199;-3,29523600;-0,91463970;-2,42576400
-2,37538799;-3,34040400;-0,96041750;-2,37998600
-2,37505399;-3,34040400;-0,91463970;-2,37998600
-2,37471999;-3,34040400;-0,96041750;-2,37998600
-2,37438599;-3,34040400;-0,96041750;-2,37998600
-2,37405199;-3,34040400;-0,96041750;-2,37998600
-2,37371799;-3,34040400;-0,96041750;-2,42576400
-2,37338399;-3,34040400;-0,96041750;-2,42576400
-2,37304999;-3,34040400;-0,91463970;-2,42576400
-2,37271599;-3,34040400;-0,91463970;-2,42576400
-2,37238199;-3,34040400;-0,91463970;-2,37998600
-2,37204799;-3,34040400;-0,91463970;-2,42576400
-2,37171399;-3,34040400;-0,96041750;-2,42576400
-2,37137999;-3,34040400;-0,91463970;-2,42576400
-2,37104599;-3,34040400;-0,91463970;-2,42576400
-2,37071199;-3,34040400;-0,91463970;-2,42576400
-2,37037799;-3,34040400;-0,91463970;-2,42576400
-2,37004399;-3,34040400;-0,91463970;-2,42576400
-2,36970999;-3,34040400;-0,91463970;-2,42576400
-2,36937599;-3,34040400;-0,91463970;-2,42576400
-2,36904199;-3,34040400;-0,91463970;-2,42576400
-2,36870799;-3,34040400;-0,91463970;-2,42576400
-2,36837399;-3,34040400;-0,91463970;-2,42576400
-2,36803999;-3,34040400;-0,91463970;-2,42576400
-2,36770599;-3,34040400;-0,91463970;-2,42576400
-2,36737199;-3,34040400;-0,91463970;-2,42576400
-2,36703799;-3,34040400;-0,91463970;-2,38059600
-2,36670399;-3,34040400;-0,91463970;-2,42576400
-2,36636999;-3,29523600;-0,91463970;-2,42576400
-2,36603599;-3,34040400;-0,91463970;-2,42576400
-2,36570199;-3,34040400;-0,91463970;-2,42576400
-2,36536799;-3,34040400;-0,91463970;-2,42576400
-2,36503399;-3,34040400;-0,91463970;-2,42576400
-2,36469999;-3,34040400;-0,91463970;-2,42576400
-2,36436599;-3,34040400;-0,91463970;-2,47169400
-2,36403199;-3,34040400;-0,91463970;-2,47169400
-2,36369799;-3,34040400;-0,86870940;-2,47169400
-2,36336399;-3,34040400;-0,86870940;-2,47169400
-2,36302999;-3,34040400;-0,86870940;-2,47169400
-2,36269599;-3,34040400;-0,86870940;-2,47169400
-2,36236199;-3,34040400;-0,86870940;-2,47169400
-2,36202799;-3,34040400;-0,86870940;-2,51747200
-2,36169399;-3,34040400;-0,86870940;-2,47169400
-2,36135999;-3,34040400;-0,82293160;-2,51747200
